Area_Name,Year,Group_Name,Acquitted,cases_Comp_or_Withdrawn,Arrested,Chargesheeted,Convicted,In_Custody/Bail_Beginning,In_Custody/Bail_Beginning.1,In_Custody/Bail_End, Released_Before_Trial,Trial_Completed,Under_Trial_Beginning,Total_Under_Trial
Andaman & Nicobar Islands,2001.0,Kidnapping & Abduction - Women & Girls,2.0,0.0,2.0,5.0,0.0,3.0,3.0,25.0,0.0,4.0,22.0,27.0
Tripura,2001.0,Molestation,39.0,0.0,2.0,16.0,6.0,3.0,3.0,16.0,0.0,2.0,62.0,111.0
Uttar Pradesh,2001.0,Molestation,1172.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Uttarakhand,2001.0,Molestation,37.0,0.0,2.0,16.0,4.0,7.0,3.0,16.0,0.0,2.0,27.0,67.0
West Bengal,2001.0,Molestation,456.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Andhra Pradesh,2001.0,Importation of Girls,0.0,0.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0
West Bengal,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Uttarakhand,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,16.0,34.0
Tripura,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,15.0,5.0
Rajasthan,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,16.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,55.0
Punjab,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,7.0,7.0
Puducherry,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Odisha,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Tamil Nadu,2001.0,Molestation,1319.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Rajasthan,2001.0,Molestation,1032.0,0.0,2.0,16.0,4.0,0.0,0.0,16.0,0.0,2.0,27.0,67.0
Punjab,2001.0,Molestation,61.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Gujarat,2001.0,Molestation,745.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Haryana,2001.0,Molestation,581.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Himachal Pradesh,2001.0,Molestation,258.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Jammu & Kashmir,2001.0,Molestation,470.0,0.0,2.0,16.0,4.0,6.0,3.0,16.0,0.0,2.0,27.0,67.0
Jharkhand,2001.0,Molestation,155.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Karnataka,2001.0,Molestation,1579.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Kerala,2001.0,Molestation,894.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Nagaland,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2001.0,Molestation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,2001.0,Molestation,1523.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Manipur,2001.0,Molestation,0.0,0.0,2.0,1.0,1.0,4.0,4.0,3.0,0.0,1.0,6.0,7.0
Meghalaya,2001.0,Molestation,10.0,0.0,2.0,15.0,2.0,6.0,4.0,16.0,0.0,2.0,27.0,124.0
Mizoram,2001.0,Molestation,17.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,65.0,127.0
Nagaland,2001.0,Molestation,0.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,0.0,0.0,4.666666666666667,5.0
Odisha,2001.0,Molestation,1370.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Puducherry,2001.0,Molestation,22.0,0.0,2.0,16.0,4.0,0.0,3.0,16.0,0.0,2.0,66.0,124.0
Madhya Pradesh,2001.0,Molestation,2861.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Mizoram,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meghalaya,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman & Nicobar Islands,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2001.0,Sexual harassment,734.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Arunachal Pradesh,2001.0,Sexual harassment,0.0,0.0,3.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,4.0
Assam,2001.0,Sexual harassment,7.0,0.0,2.0,7.0,3.0,3.0,3.0,31.0,0.0,2.0,34.0,41.0
Bihar,2001.0,Sexual harassment,32.0,0.0,2.0,16.0,8.0,3.0,3.0,16.0,0.0,2.0,27.0,156.0
Chandigarh,2001.0,Sexual harassment,7.0,0.0,2.0,19.0,6.0,4.0,2.0,29.0,0.0,2.0,23.0,42.0
Andhra Pradesh,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,16.0,4.0,3.0,3.0,16.0,0.0,0.0,27.0,52.0
Daman & Diu,2001.0,Sexual harassment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,2001.0,Sexual harassment,52.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Haryana,2001.0,Sexual harassment,173.0,0.0,2.0,16.0,4.0,3.0,3.0,16.0,0.0,2.0,27.0,67.0
Himachal Pradesh,2001.0,Sexual harassment,17.0,0.0,2.0,19.0,2.0,1.0,2.3333333333333335,16.0,0.0,2.0,27.0,67.0
Jammu & Kashmir,2001.0,Sexual harassment,193.0,0.0,2.0,16.0,4.0,1.0,1.0,16.0,0.0,2.0,27.0,67.0
Dadra & Nagar Haveli,2001.0,Sexual harassment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Goa,2001.0,Molestation,40.0,0.0,2.0,22.0,9.0,3.0,5.0,16.0,0.0,2.0,27.0,116.0
Bihar,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,16.0,4.0,4.0,3.0,16.0,0.0,1.0,13.0,7.0
Maharashtra,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,18.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,67.0
Madhya Pradesh,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Lakshadweep,2001.0,Indecent Representation of Women (Prohibition) Act,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
